1,1,0.550405,0.526954,0.0467636,0.106746,-1,1,1
1,2,0.403265,0.574322,0.0534279,0.101046,-1,1,1
1,3,0.580507,0.860758,0.0625027,0.109848,-1,1,1
1,4,0.680404,0.836331,0.0622662,0.124639,-1,1,1
1,5,0.701329,0.755265,0.0501259,0.112151,-1,1,1
2,1,0.550282,0.529381,0.0455843,0.103988,-1,1,1
2,2,0.403795,0.574711,0.0533814,0.100951,-1,1,1
2,3,0.581751,0.86195,0.0624049,0.109518,-1,1,1
2,4,0.679876,0.837474,0.0615751,0.123285,-1,1,1
2,5,0.700695,0.752852,0.0523023,0.117066,-1,1,1
3,1,0.550349,0.529763,0.0452618,0.10318,-1,1,1
3,2,0.404594,0.574288,0.0522487,0.0987244,-1,1,1
3,3,0.581314,0.862905,0.0637547,0.111888,-1,1,1
3,4,0.679446,0.836942,0.0612815,0.12279,-1,1,1
3,5,0.700669,0.756307,0.0502988,0.112567,-1,1,1
4,1,0.550682,0.529907,0.0461797,0.105053,-1,1,1
4,2,0.405848,0.574831,0.0523196,0.0987778,-1,1,1
4,3,0.5807,0.862509,0.0648961,0.114024,-1,1,1
4,4,0.678858,0.837736,0.0609461,0.122253,-1,1,1
4,5,0.698391,0.756842,0.0505613,0.112602,-1,1,1
5,1,0.550127,0.529416,0.0462579,0.104936,-1,1,1
5,2,0.405982,0.574563,0.0521281,0.0981611,-1,1,1
5,3,0.579996,0.863371,0.0647925,0.114112,-1,1,1
5,4,0.678628,0.839091,0.0597095,0.119801,-1,1,1
5,5,0.696911,0.752839,0.0553607,0.123142,-1,1,1
6,1,0.550235,0.530555,0.0459588,0.103952,-1,1,1
6,2,0.406195,0.574542,0.0511758,0.0960031,-1,1,1
6,3,0.579962,0.863726,0.064323,0.113527,-1,1,1
6,4,0.67818,0.839701,0.0597586,0.120157,-1,1,1
6,5,0.697985,0.756947,0.0513962,0.113787,-1,1,1
7,1,0.550185,0.530727,0.0464886,0.104821,-1,1,1
7,2,0.405958,0.574291,0.0513943,0.0959462,-1,1,1
7,3,0.579692,0.864098,0.0638904,0.113087,-1,1,1
7,4,0.67801,0.840075,0.0590041,0.118824,-1,1,1
7,5,0.698043,0.758523,0.0497686,0.109581,-1,1,1
8,1,0.550681,0.529747,0.0469642,0.105767,-1,1,1
8,2,0.406116,0.574096,0.0504118,0.0937671,-1,1,1
