1,1,0.550405,0.526954,0.0467636,0.106746,-1,1,1
1,2,0.403265,0.574322,0.0534279,0.101046,-1,1,1
1,3,0.580507,0.860758,0.0625027,0.109848,-1,1,1
1,4,0.680404,0.836331,0.0622662,0.124639,-1,1,1
1,5,0.701329,0.755265,0.0501259,0.112151,-1,1,1
2,1,0.550286,0.529392,0.0468129,0.103991,-1,1,1
2,2,0.403798,0.574718,0.053531,0.100954,-1,1,1
2,3,0.581752,0.861965,0.0662947,0.109521,-1,1,1
2,4,0.679878,0.837491,0.0609567,0.123288,-1,1,1
2,5,0.700698,0.75287,0.0514261,0.117068,-1,1,1
3,1,0.550353,0.52979,0.0464293,0.103183,-1,1,1
3,2,0.404596,0.574308,0.053447,0.0987285,-1,1,1
3,3,0.581332,0.862937,0.0648621,0.111893,-1,1,1
3,4,0.679446,0.83698,0.059888,0.122795,-1,1,1
3,5,0.700673,0.756348,0.0501881,0.112572,-1,1,1
4,1,0.550682,0.529926,0.048385,0.105055,-1,1,1
4,2,0.405839,0.574845,0.0535421,0.0987804,-1,1,1
4,3,0.580699,0.862533,0.063548,0.114028,-1,1,1
4,4,0.678853,0.837762,0.0591993,0.122256,-1,1,1
4,5,0.698401,0.756869,0.0554359,0.112604,-1,1,1
5,1,0.550124,0.529417,0.0489489,0.104934,-1,1,1
5,2,0.405972,0.574564,0.0546044,0.098159,-1,1,1
5,3,0.579977,0.863366,0.0617498,0.11411,-1,1,1
5,4,0.678614,0.839086,0.0589339,0.119798,-1,1,1
5,5,0.696931,0.752836,0.0581319,0.123141,-1,1,1
6,1,0.550248,0.530522,0.0485937,0.10395,-1,1,1
6,2,0.406209,0.574519,0.0545121,0.0960012,-1,1,1
6,3,0.579985,0.863697,0.0613352,0.113524,-1,1,1
6,4,0.6782,0.839666,0.0578815,0.120155,-1,1,1
6,5,0.698021,0.756904,0.0553007,0.113785,-1,1,1
7,1,0.55021,0.530689,0.0490097,0.104821,-1,1,1
7,2,0.405992,0.574267,0.055343,0.0959462,-1,1,1
7,3,0.579727,0.864071,0.0606648,0.113087,-1,1,1
7,4,0.678047,0.840041,0.0573565,0.118824,-1,1,1
7,5,0.698068,0.758483,0.0541981,0.109582,-1,1,1
8,1,0.550696,0.529712,0.0484126,0.105767,-1,1,1
8,2,0.406142,0.574075,0.0536844,0.0937658,-1,1,1
